_id,SampleNumber,SampleDate,PartialPostalCode,LeadAmount_ppm
1,4572568,2014-01-01 00:00:00.000000,M5V,2.4993998574360417e-05
2,4627816,2014-01-01 06:50:40.424701,M2K,0.0
3,2049677,2014-01-01 13:41:20.849403,M8V,0.0
4,1467822,2014-01-01 20:32:01.274104,M9M,0.006410163190123995
5,4709204,2014-01-02 03:22:41.698806,M8Y,0.012809114605675355
6,1448376,2014-01-02 10:13:22.123507,M9N,<0.00005
7,7112199,2014-01-02 17:04:02.548208,M4M,0.006806438148357257
8,8000410,2014-01-02 23:54:42.972910,M2K,0.0019460022057297866
9,2503431,2014-01-03 06:45:23.397611,M5S,0.0064384903003663636
10,3612411,2014-01-03 13:36:03.822312,M3J,0.010631212619077374
11,1255323,2014-01-03 20:26:44.247014,M2M,<0.00005
12,3392798,2014-01-04 03:17:24.671715,M5E,0.008633957246981546
13,8941637,2014-01-04 10:08:05.096417,M3A,<0.00005
14,2186600,2014-01-04 16:58:45.521118,M9L,<0.00005
15,1174840,2014-01-04 23:49:25.945819,M1G,0.004366434715237449
16,1892823,2014-01-05 06:40:06.370521,M2R,0.004597695588653412
17,1586202,2014-01-05 13:30:46.795222,M9C,0.0
18,5439540,2014-01-05 20:21:27.219923,M4G,0.0
19,2689003,2014-01-06 03:12:07.644625,M8X,0.0
20,8716194,2014-01-06 10:02:48.069326,M4T,0.013023430582399454
21,3916063,2014-01-06 16:53:28.494028,M5P,0.0
22,2339719,2014-01-06 23:44:08.918729,M4A,0.0008490149023166879
23,4304027,2014-01-07 06:34:49.343430,M6L,<0.00005
24,1496175,2014-01-07 13:25:29.768132,M6A,0.0077394640665500005
25,2129252,2014-01-07 20:16:10.192833,M8V,0.00014577865948351473
26,5391478,2014-01-08 03:06:50.617535,M6E,<0.00005
27,9596953,2014-01-08 09:57:31.042236,M5N,0.006056944948770928
28,2311871,2014-01-08 16:48:11.466937,M9C,0.0028095779568054857
29,2087161,2014-01-08 23:38:51.891639,M9A,0.010761546888654695
30,1376532,2014-01-09 06:29:32.316340,M5S,0.011129234225459188
31,4785980,2014-01-09 13:20:12.741041,M6B,0.013018422133838563
32,1647126,2014-01-09 20:10:53.165743,M2H,0.010349814788905582
33,2328316,2014-01-10 03:01:33.590444,M9A,<0.00005
34,4220463,2014-01-10 09:52:14.015146,M9P,<0.00005
35,4456511,2014-01-10 16:42:54.439847,M9B,0.017387899006187015
36,3034245,2014-01-10 23:33:34.864548,M1T,0.009744348224332105
37,5854652,2014-01-11 06:24:15.289250,M8V,0.0029986225008514556
38,4275798,2014-01-11 13:14:55.713951,M9C,0.0
39,2548877,2014-01-11 20:05:36.138653,M6C,0.0019782193097437153
40,5285723,2014-01-12 02:56:16.563354,M5T,<0.00005
41,1283444,2014-01-12 09:46:56.988055,M5E,<0.00005
42,7299508,2014-01-12 16:37:37.412757,M9C,0.0018239615389001938
43,6798009,2014-01-12 23:28:17.837458,M6E,<0.00005
44,1745089,2014-01-13 06:18:58.262159,M1E,<0.00005
45,1461706,2014-01-13 13:09:38.686861,M1W,<0.00005
46,8560939,2014-01-13 20:00:19.111562,M5G,<0.00005
47,5351300,2014-01-14 02:50:59.536264,M4Y,0.008585483123673777
48,6503978,2014-01-14 09:41:39.960965,M5T,0.006577832820149005
49,7241742,2014-01-14 16:32:20.385666,M9N,0.00651278719859524
50,1221950,2014-01-14 23:23:00.810368,M1L,0.006645858900364902
51,7415999,2014-01-15 06:13:41.235069,M6K,0.004071278526345839
52,4416669,2014-01-15 13:04:21.659770,M1L,0.004938242189987189
53,6918440,2014-01-15 19:55:02.084472,M4X,<0.00005
54,2690456,2014-01-16 02:45:42.509173,M4X,<0.00005
55,8163391,2014-01-16 09:36:22.933875,M8Y,<0.00005
56,7765516,2014-01-16 16:27:03.358576,M5M,<0.00005
57,5011054,2014-01-16 23:17:43.783277,M6C,0.004842003166814308
58,9754009,2014-01-17 06:08:24.207979,M5C,0.0013370824181915
59,5051964,2014-01-17 12:59:04.632680,M2H,<0.00005
60,2702634,2014-01-17 19:49:45.057382,M4X,0.0
61,6842206,2014-01-18 02:40:25.482083,M1V,0.010233875935961914
62,9986772,2014-01-18 09:31:05.906784,M2J,0.0011850334285367996
63,8745042,2014-01-18 16:21:46.331486,M3B,0.0020831698021422903
64,2147060,2014-01-18 23:12:26.756187,M1L,<0.00005
65,8898635,2014-01-19 06:03:07.180888,M1J,0.004786369448951311
66,1316136,2014-01-19 12:53:47.605590,M4B,0.0
67,9191173,2014-01-19 19:44:28.030291,M6M,<0.00005
68,8286528,2014-01-20 02:35:08.454993,M5R,<0.00005
69,4517357,2014-01-20 09:25:48.879694,M5K,0.008560194894880031
70,8194103,2014-01-20 16:16:29.304395,M4R,0.007689603521107681
71,8850906,2014-01-20 23:07:09.729097,M6S,0.009891917261652176
72,4944426,2014-01-21 05:57:50.153798,M9W,0.0
73,7544182,2014-01-21 12:48:30.578499,M9N,0.005335961387722043
74,7853761,2014-01-21 19:39:11.003201,M9M,0.019780234660279318
75,6492285,2014-01-22 02:29:51.427902,M1N,0.008213754289652576
76,5491890,2014-01-22 09:20:31.852604,M8V,0.005387151812626869
77,4870039,2014-01-22 16:11:12.277305,M5G,0.0025182964956940775
